geometry_id,run_id,gun_particle,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kinetic_energy_GeV,total_energy_GeV,muon_threshold_GeV,detection_efficiency,energy_resolution
6187061c,runce4ea63cf2,kaon0L,10,3,3,4,3.5131,3.84,3.618,0.5095,0.5777,0.5221,0.05,1.0,1.497611,0.02,0.439,0.42407073176463006
6187061c,run709e1e815e,kaon0L,10,3,3,4,3.5131,3.84,3.618,0.5095,0.5777,0.5221,0.05,1.0,1.497611,0.02,0.43966666666666665,0.4169464747519007
6187061c,runb2773b4489,kaon0L,10,3,3,4,3.5131,3.84,3.618,0.5095,0.5777,0.5221,0.05,1.0,1.497611,0.02,0.438,0.40508119135044407
6187061c,run30281412a1,kaon0L,10,3,3,4,3.5131,3.84,3.618,0.5095,0.5777,0.5221,0.05,1.0,1.497611,0.02,0.4236666666666667,0.40410559519830036
6187061c,run820db21915,neutron,10,3,3,4,3.5131,3.84,3.618,0.5095,0.5777,0.5221,0.05,1.0,1.9395654205000001,0.02,0.25066666666666665,0.3993134225036494
6187061c,run8c0eb0ebd5,kaon0L,10,3,3,4,3.5131,3.84,3.618,0.5095,0.5777,0.5221,0.05,1.0,1.497611,0.02,0.43666666666666665,0.4213850468318371
6187061c,run8d72dce496,neutron,10,3,3,4,3.5131,3.84,3.618,0.5095,0.5777,0.5221,0.05,1.0,1.9395654205000001,0.02,0.246,0.4715667127176232
6187061c,run7f4c0495ab,kaon0L,10,3,3,4,3.5131,3.84,3.618,0.5095,0.5777,0.5221,0.05,1.0,1.497611,0.02,0.43833333333333335,0.4385551281427292
6187061c,run1f01a698dd,kaon0L,10,3,3,4,3.5131,3.84,3.618,0.5095,0.5777,0.5221,0.05,1.0,1.497611,0.02,0.42633333333333334,0.41124488619495964
6187061c,rund349e9752f,kaon0L,10,3,3,4,3.5131,3.84,3.618,0.5095,0.5777,0.5221,0.05,1.0,1.497611,0.02,0.44866666666666666,0.40889686235758
6187061c,run5ee5ba06b1,neutron,10,3,3,4,3.5131,3.84,3.618,0.5095,0.5777,0.5221,0.05,1.0,1.9395654205000001,0.02,0.24666666666666667,0.4401556525882759
6187061c,run26890b24ee,neutron,10,3,3,4,3.5131,3.84,3.618,0.5095,0.5777,0.5221,0.05,1.0,1.9395654205000001,0.02,0.25266666666666665,0.39935101529932243
