geometry_id,kinetic_energy_GeV,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kaon0L_efficiency,kaon0L_efficiency_std,kaon0L_energy_resolution,kaon0L_energy_resolution_std,neutron_efficiency,neutron_efficiency_std,neutron_energy_resolution,neutron_energy_resolution_std
03ffcb75,3.0,10,3,3,4,4.3475,4.2412,4.1218,0.4629,0.3793,0.5116,0.05,0.8023333333333333,,0.3709063577889187,,0.7293333333333333,,0.39568469903009357,
053c866b,3.0,10,3,3,4,3.6305,3.6426,4.0302,0.3683,0.598,0.4582,0.05,0.776,,0.3909589338374757,,0.7283333333333334,,0.4076580885847858,
06824a73,3.0,10,3,3,4,4.0324,3.7711,3.5621,0.4722,0.5646,0.5758,0.05,0.8056666666666666,,0.39322497692465336,,0.7713333333333333,,0.40118717256903663,
06eae0b2,3.0,10,3,3,4,4.1033,4.3467,4.1083,0.4542,0.487,0.5548,0.05,0.8136666666666666,,0.3828574385483868,,0.762,,0.41586925387839163,
08c45413,3.0,10,3,3,4,4.3403,4.2657,3.8301,0.5653,0.3902,0.5168,0.05,0.8033333333333333,,0.38854464128437977,,0.7686666666666667,,0.4165691227690176,
0988d8c0,3.0,10,3,3,4,4.1424,3.5054,3.9443,0.5254,0.335,0.4498,0.05,0.7633333333333333,,0.40675673335406,,0.7183333333333334,,0.39513485843762425,
0ac46c77,3.0,10,3,3,4,3.6491,3.7127,3.7457,0.5664,0.3825,0.3607,0.05,0.7416666666666667,,0.40241890889034976,,0.6903333333333334,,0.42905513306219795,
0bb97674,3.0,10,3,3,4,3.8126,3.8719,4.3553,0.3013,0.5024,0.3394,0.05,0.724,,0.390360207701206,,0.621,,0.4005342600744964,
0d0070b1,3.0,10,3,3,4,4.3723,3.9476,3.6507,0.4051,0.3476,0.3268,0.05,0.708,,0.35788901026841774,,0.6136666666666667,,0.40439449793387927,
0d7cbc0b,3.0,10,3,3,4,3.8166,3.509,3.5683,0.4761,0.518,0.4767,0.05,0.784,,0.41436694551894204,,0.746,,0.38995623858639294,
0e2f56a4,3.0,10,3,3,4,3.7822,4.4806,4.4167,0.4597,0.5409,0.5925,0.05,0.8306666666666667,,0.38223980154709736,,0.8073333333333333,,0.4084050889838631,
0f6e860e,3.0,10,3,3,4,3.5288,3.8362,4.2661,0.3366,0.547,0.311,0.05,0.726,,0.3874497130442751,,0.6596666666666666,,0.4268588209507651,
10f521d2,3.0,10,3,3,4,4.3109,4.3546,3.8017,0.5603,0.5806,0.3653,0.05,0.7956666666666666,,0.3994378781128092,,0.7526666666666667,,0.41359664530339435,
