geometry_id,run_id,gun_particle,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kinetic_energy_GeV,total_energy_GeV,muon_threshold_GeV,detection_efficiency,energy_resolution
42a6b12d,runae42569bc8,kaon0L,10,3,3,4,3.687,4.3007,3.5849,0.3832,0.5759,0.3021,0.05,3.0,3.497611,0.02,0.75,0.39846021607451915
42a6b12d,run8fb359f04e,neutron,10,3,3,4,3.687,4.3007,3.5849,0.3832,0.5759,0.3021,0.05,3.0,3.9395654205,0.02,0.685,0.40609975402889104
6569c1c0,runf83c70523f,kaon0L,10,3,3,4,3.8053,3.5371,3.6207,0.3814,0.4179,0.5993,0.05,3.0,3.497611,0.02,0.7776666666666666,0.3902187493842781
6569c1c0,run060b293cd8,neutron,10,3,3,4,3.8053,3.5371,3.6207,0.3814,0.4179,0.5993,0.05,3.0,3.9395654205,0.02,0.733,0.40559643468456225
9d207cca,runb30f21273e,neutron,10,3,3,4,4.497,3.7845,3.7182,0.5936,0.5302,0.3807,0.05,3.0,3.9395654205,0.02,0.7526666666666667,0.40666587299032775
9d207cca,run93dadb88a1,kaon0L,10,3,3,4,4.497,3.7845,3.7182,0.5936,0.5302,0.3807,0.05,3.0,3.497611,0.02,0.7846666666666666,0.41554003285206054
a72e7022,run1cadf1d5bc,neutron,10,3,3,4,3.7104,4.2258,3.6795,0.5061,0.3196,0.3172,0.05,3.0,3.9395654205,0.02,0.6193333333333333,0.4203880947853553
a72e7022,run76acecdcb8,kaon0L,10,3,3,4,3.7104,4.2258,3.6795,0.5061,0.3196,0.3172,0.05,3.0,3.497611,0.02,0.7053333333333334,0.38159466632312167
0bb97674,run348e40a534,neutron,10,3,3,4,3.8126,3.8719,4.3553,0.3013,0.5024,0.3394,0.05,3.0,3.9395654205,0.02,0.621,0.4005342600744964
0bb97674,run787f8538b7,kaon0L,10,3,3,4,3.8126,3.8719,4.3553,0.3013,0.5024,0.3394,0.05,3.0,3.497611,0.02,0.724,0.390360207701206
868a492a,run29e77c19b8,kaon0L,10,3,3,4,3.5595,4.3881,4.3415,0.534,0.5679,0.4347,0.05,3.0,3.497611,0.02,0.7973333333333333,0.4015338427130296
868a492a,run2dca262325,neutron,10,3,3,4,3.5595,4.3881,4.3415,0.534,0.5679,0.4347,0.05,3.0,3.9395654205,0.02,0.7693333333333333,0.4275528702434439
8640d9db,run7083ae7019,neutron,10,3,3,4,4.0514,4.4361,3.8338,0.5809,0.551,0.4568,0.05,3.0,3.9395654205,0.02,0.774,0.40724380970000484
8640d9db,run899dfc4565,kaon0L,10,3,3,4,4.0514,4.4361,3.8338,0.5809,0.551,0.4568,0.05,3.0,3.497611,0.02,0.817,0.41930061973240007
a672a812,runc66ca59e63,kaon0L,10,3,3,4,3.6394,4.0602,3.5563,0.4522,0.4509,0.349,0.05,3.0,3.497611,0.02,0.7383333333333333,0.37953387296896435
a672a812,run7c851489af,neutron,10,3,3,4,3.6394,4.0602,3.5563,0.4522,0.4509,0.349,0.05,3.0,3.9395654205,0.02,0.6816666666666666,0.40569642363800057
10f521d2,run8600fd0a23,neutron,10,3,3,4,4.3109,4.3546,3.8017,0.5603,0.5806,0.3653,0.05,3.0,3.9395654205,0.02,0.7526666666666667,0.41359664530339435
10f521d2,run68f1f1908d,kaon0L,10,3,3,4,4.3109,4.3546,3.8017,0.5603,0.5806,0.3653,0.05,3.0,3.497611,0.02,0.7956666666666666,0.3994378781128092
0d7cbc0b,run6c9d0f3552,kaon0L,10,3,3,4,3.8166,3.509,3.5683,0.4761,0.518,0.4767,0.05,3.0,3.497611,0.02,0.784,0.41436694551894204
0d7cbc0b,run54a262e61c,neutron,10,3,3,4,3.8166,3.509,3.5683,0.4761,0.518,0.4767,0.05,3.0,3.9395654205,0.02,0.746,0.38995623858639294
82e534a8,run187e835612,kaon0L,10,3,3,4,3.9261,3.8972,3.7361,0.3938,0.3153,0.5011,0.05,3.0,3.497611,0.02,0.7526666666666667,0.36876156978245644
82e534a8,run08a2960270,neutron,10,3,3,4,3.9261,3.8972,3.7361,0.3938,0.3153,0.5011,0.05,3.0,3.9395654205,0.02,0.6753333333333333,0.3651882817602346
