geometry_id,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kaon0L_efficiency,kaon0L_efficiency_std,kaon0L_energy_resolution,kaon0L_energy_resolution_std,neutron_efficiency,neutron_efficiency_std,neutron_energy_resolution,neutron_energy_resolution_std
03ffcb75,10,3,3,4,4.3475,4.2412,4.1218,0.4629,0.3793,0.5116,0.05,0.26033333333333336,,0.4562165551282959,,0.124,,0.41602607211901754,
053c866b,10,3,3,4,3.6305,3.6426,4.0302,0.3683,0.598,0.4582,0.05,0.35533333333333333,,0.3674943702995261,,0.194,,0.44849817436345873,
06824a73,10,3,3,4,4.0324,3.7711,3.5621,0.4722,0.5646,0.5758,0.05,0.4116666666666667,,0.45141922483312863,,0.23633333333333334,,0.40654332707728585,
06eae0b2,10,3,3,4,4.1033,4.3467,4.1083,0.4542,0.487,0.5548,0.05,0.32066666666666666,,0.43839346841131,,0.168,,0.38526688632950606,
08c45413,10,3,3,4,4.3403,4.2657,3.8301,0.5653,0.3902,0.5168,0.05,0.32666666666666666,,0.4090302131336551,,0.15666666666666668,,0.41156983096827393,
0988d8c0,10,3,3,4,4.1424,3.5054,3.9443,0.5254,0.335,0.4498,0.05,0.289,,0.3692566983307005,,0.16,,0.42631355396970266,
0ac46c77,10,3,3,4,3.6491,3.7127,3.7457,0.5664,0.3825,0.3607,0.05,0.32666666666666666,,0.4187773734472986,,0.16833333333333333,,0.45437811151130625,
0bb97674,10,3,3,4,3.8126,3.8719,4.3553,0.3013,0.5024,0.3394,0.05,0.21333333333333335,,0.4076217828349153,,0.09866666666666667,,0.34916948883680077,
0d0070b1,10,3,3,4,4.3723,3.9476,3.6507,0.4051,0.3476,0.3268,0.05,0.175,,0.4108657730394192,,0.082,,0.3950785856315149,
0d7cbc0b,10,3,3,4,3.8166,3.509,3.5683,0.4761,0.518,0.4767,0.05,0.39966666666666667,,0.37774682066021686,,0.21433333333333332,,0.42707323595398883,
0e2f56a4,10,3,3,4,3.7822,4.4806,4.4167,0.4597,0.5409,0.5925,0.05,0.37233333333333335,,0.43820466118425494,,0.206,,0.37747191746756764,
0f6e860e,10,3,3,4,3.5288,3.8362,4.2661,0.3366,0.547,0.311,0.05,0.26066666666666666,,0.3647683607106285,,0.12366666666666666,,0.4135587556110963,
10f521d2,10,3,3,4,4.3109,4.3546,3.8017,0.5603,0.5806,0.3653,0.05,0.36133333333333334,,0.3942240868426312,,0.18133333333333335,,0.38313070727720167,
11ea6552,10,3,3,4,4.4391,4.1797,4.1298,0.554,0.3678,0.4366,0.05,0.2806666666666667,,0.40048692206873515,,0.146,,0.4117890307985782,
1288e8aa,10,3,3,4,4.1707,3.8151,3.5339,0.4441,0.3335,0.4109,0.05,0.22933333333333333,,0.4105260234157455,,0.11066666666666666,,0.4004384064988929,
1366f069,10,3,3,4,3.9383,4.0838,3.548,0.5763,0.4079,0.3675,0.05,0.31833333333333336,,0.4130483724567057,,0.171,,0.43623653359564224,
14ca1937,10,3,3,4,4.2944,4.3103,4.2228,0.4604,0.5845,0.5871,0.05,0.3576666666666667,,0.39738627028075013,,0.203,,0.41095900310391276,
14fe6567,10,3,3,4,4.1278,3.6292,3.6814,0.5987,0.4344,0.4032,0.05,0.35233333333333333,,0.47105355085749395,,0.18266666666666667,,0.45746742746533087,
1bb09549,10,3,3,4,4.4199,4.2924,4.1047,0.4024,0.3516,0.4166,0.05,0.203,,0.3586000888814047,,0.08733333333333333,,0.48303750349159036,
1d304dd4,10,3,3,4,4.3301,4.0707,3.5994,0.3663,0.4459,0.3891,0.05,0.21566666666666667,,0.40044090325722476,,0.111,,0.45352964307014526,
1df36356,10,3,3,4,3.6758,4.0001,3.8131,0.4952,0.5386,0.5529,0.05,0.426,,0.4127021745328109,,0.23366666666666666,,0.3946786313258283,
1dfac2af,10,3,3,4,4.4012,3.5241,4.3278,0.3058,0.4401,0.3088,0.05,0.174,,0.36683362580571605,,0.07866666666666666,,0.3838951952120934,
1e49465a,10,3,3,4,4.3847,4.209,4.3017,0.4697,0.3619,0.482,0.05,0.24333333333333335,,0.41404063422528276,,0.11733333333333333,,0.37591707003999536,
215e7c98,10,3,3,4,4.0044,4.197,4.0228,0.3257,0.4291,0.5393,0.05,0.22966666666666666,,0.332542317603513,,0.116,,0.48264493905025463,
24a47a91,10,3,3,4,3.6093,4.0383,4.3746,0.5732,0.52,0.5133,0.05,0.4166666666666667,,0.4094844538712613,,0.22633333333333333,,0.4414622062565168,
25b54c79,10,3,3,4,3.8383,4.3238,4.4059,0.5147,0.5573,0.5357,0.05,0.37833333333333335,,0.3778623437142592,,0.19233333333333333,,0.44672350793734217,
2611d793,10,3,3,4,4.0968,3.92,4.0001,0.3473,0.4597,0.4478,0.05,0.23333333333333334,,0.3481539302875857,,0.12466666666666666,,0.40452438723484985,
26e87930,10,3,3,4,3.6585,4.1472,4.156,0.3541,0.3683,0.4229,0.05,0.19966666666666666,,0.4869087551643343,,0.093,,0.42693434479148973,
28463cd7,10,3,3,4,4.1629,3.9151,4.2505,0.3185,0.4429,0.5796,0.05,0.26033333333333336,,0.45096781839180494,,0.12933333333333333,,0.3978734873005801,
2a6170b3,10,3,3,4,3.9619,3.941,4.4271,0.5225,0.42,0.4646,0.05,0.31466666666666665,,0.3974274353886708,,0.16733333333333333,,0.36346689925522546,
2c0c56a3,10,3,3,4,4.4614,3.6932,4.4907,0.4909,0.474,0.5202,0.05,0.3323333333333333,,0.41961707557216127,,0.18933333333333333,,0.3801193687856706,
2eb132ec,10,3,3,4,4.3154,3.5646,4.0079,0.4487,0.3231,0.4687,0.05,0.24166666666666667,,0.40791092587985867,,0.12033333333333333,,0.4401464810477585,
307c33c5,10,3,3,4,3.8988,3.5958,4.4255,0.3093,0.3396,0.4208,0.05,0.164,,0.3947390880066172,,0.07733333333333334,,0.5918171738648099,
337b4a7e,10,3,3,4,3.6699,3.8855,3.7223,0.3854,0.4034,0.5579,0.05,0.295,,0.4140984829547676,,0.15766666666666668,,0.37161599809148665,
34121a9d,10,3,3,4,3.8842,4.075,3.865,0.3578,0.3765,0.3128,0.05,0.17766666666666667,,0.37953072561481044,,0.071,,0.3710009243701189,
36b4d2c1,10,3,3,4,3.8409,3.8078,4.4083,0.3387,0.5611,0.3837,0.05,0.2723333333333333,,0.4027910821628788,,0.14333333333333334,,0.36468337032667913,
36ef355f,10,3,3,4,4.199,3.6165,3.7797,0.3268,0.3894,0.4817,0.05,0.22533333333333333,,0.34992615187716625,,0.10266666666666667,,0.4297217348878065,
371175c1,10,3,3,4,4.0634,4.4195,3.8866,0.5841,0.3119,0.3048,0.05,0.232,,0.4173732970714134,,0.11733333333333333,,0.36085926480596875,
391e3b1f,10,3,3,4,3.9858,3.9041,3.6277,0.4435,0.5447,0.3784,0.05,0.32466666666666666,,0.38310830633686316,,0.166,,0.38450662547099695,
3aa9fcbb,10,3,3,4,3.8236,3.9911,4.0665,0.5636,0.3544,0.3339,0.05,0.2693333333333333,,0.44822768928579915,,0.131,,0.4061977119583382,
3da26a90,10,3,3,4,3.8664,3.9329,4.449,0.35,0.3963,0.5682,0.05,0.24833333333333332,,0.38832899145300365,,0.13033333333333333,,0.38951677877480345,
3f7b49a9,10,3,3,4,4.1733,4.0518,3.8147,0.3023,0.4002,0.3362,0.05,0.147,,0.3990333985521965,,0.073,,0.44197032787803653,
40516277,10,3,3,4,3.9315,4.2528,3.8903,0.3591,0.3802,0.5465,0.05,0.24233333333333335,,0.3999148482995201,,0.12733333333333333,,0.3259759675397145,
42a6b12d,10,3,3,4,3.687,4.3007,3.5849,0.3832,0.5759,0.3021,0.05,0.2816666666666667,,0.35771297865822715,,0.13666666666666666,,0.35048975086062817,
455f73bc,10,3,3,4,3.6209,4.286,3.7883,0.5482,0.3852,0.559,0.05,0.3383333333333333,,0.382275011736349,,0.183,,0.41582006626192336,
4968921c,10,3,3,4,3.8472,4.2991,4.4339,0.3416,0.3582,0.4265,0.05,0.169,,0.36917532086909405,,0.073,,0.42185921208091975,
4acf8cbb,10,3,3,4,4.4273,3.9072,4.3494,0.5919,0.5327,0.5054,0.05,0.39866666666666667,,0.5137701790843965,,0.229,,0.43988711529416114,
4ca425c5,10,3,3,4,3.8539,3.6106,4.2921,0.4932,0.3621,0.4295,0.05,0.293,,0.3702150824642191,,0.13233333333333333,,0.5490225440269434,
4cc68285,10,3,3,4,4.2702,3.748,4.0958,0.3987,0.538,0.5893,0.05,0.3433333333333333,,0.4395139096101516,,0.197,,0.42174660571749945,
4db37941,10,3,3,4,3.6057,4.0299,4.1731,0.4741,0.3095,0.5273,0.05,0.24966666666666668,,0.42618413381948417,,0.13033333333333333,,0.5106742404265399,
4e10581d,10,3,3,4,3.5182,3.6587,4.3121,0.414,0.5044,0.4436,0.05,0.31633333333333336,,0.44574848522626687,,0.171,,0.4351532401342884,
4e9874e1,10,3,3,4,3.7481,4.0184,3.7833,0.4365,0.3944,0.3228,0.05,0.232,,0.4303869094511331,,0.11033333333333334,,0.5799409746754959,
58b5b6e1,10,3,3,4,4.1487,4.0972,3.5412,0.4343,0.5421,0.5313,0.05,0.3586666666666667,,0.4053289534737462,,0.185,,0.41444575437950787,
5a9945a0,10,3,3,4,3.7754,4.4953,4.1395,0.4978,0.4576,0.4076,0.05,0.29033333333333333,,0.377365948847733,,0.149,,0.3733829818080644,
5ad50cb4,10,3,3,4,3.6857,4.4906,4.058,0.5884,0.3052,0.5483,0.05,0.3313333333333333,,0.4919874802456786,,0.16366666666666665,,0.4116771781327925,
5d8dca5d,10,3,3,4,4.3237,3.5868,3.8771,0.3303,0.5081,0.5956,0.05,0.29,,0.4101935163722853,,0.153,,0.39737729479350575,
5f0715ea,10,3,3,4,4.1384,3.88,4.3165,0.3289,0.4773,0.4459,0.05,0.24333333333333335,,0.38276866056459186,,0.11633333333333333,,0.3773620918976229,
601af80d,10,3,3,4,4.3748,4.4601,4.3708,0.4191,0.5244,0.561,0.05,0.2996666666666667,,0.409049157809698,,0.163,,0.39706807150460777,
61334aff,10,3,3,4,3.6611,3.7165,4.1187,0.3653,0.3569,0.4133,0.05,0.23533333333333334,,0.3657058785195443,,0.105,,0.4011380703127416,
6142e7a4,10,3,3,4,4.3975,3.6227,3.6893,0.4391,0.4333,0.3343,0.05,0.251,,0.3975898092445731,,0.12366666666666666,,0.39181030418343443,
6187061c,10,3,3,4,3.5131,3.84,3.618,0.5095,0.5777,0.5221,0.05,0.44766666666666666,,0.40883480809928446,,0.258,,0.3859067684104971,
6569c1c0,10,3,3,4,3.8053,3.5371,3.6207,0.3814,0.4179,0.5993,0.05,0.332,,0.41687072969019073,,0.16266666666666665,,0.4064368274537977,
6669c902,10,3,3,4,3.523,4.2162,3.5055,0.45,0.3067,0.4381,0.05,0.23266666666666666,,0.3780453812419692,,0.11233333333333333,,0.4230620073846817,
