geometry_id,run_id,gun_particle,nLayers,seg1_layers,seg2_layers,seg3_layers,t_absorber_seg1,t_absorber_seg2,t_absorber_seg3,t_scin_seg1,t_scin_seg2,t_scin_seg3,t_spacer,kinetic_energy_GeV,total_energy_GeV,muon_threshold_GeV,detection_efficiency,energy_resolution
1c989bdc,run50547ab931,neutron,10,3,3,4,3.6841,3.7804,3.7255,0.5796,0.5689,0.5891,0.05,1.0,1.9395654205000001,0.02,0.2946666666666667,0.4360015050470016
1c989bdc,run25444ba3dd,kaon0L,10,3,3,4,3.6841,3.7804,3.7255,0.5796,0.5689,0.5891,0.05,1.0,1.497611,0.02,0.4826666666666667,0.4127291066698417
5370d797,run5439d764e7,kaon0L,10,3,3,4,3.6461,3.5951,3.9937,0.5821,0.5679,0.5685,0.05,1.0,1.497611,0.02,0.47333333333333333,0.39842632463728117
5370d797,runeaf1ccb7ce,neutron,10,3,3,4,3.6461,3.5951,3.9937,0.5821,0.5679,0.5685,0.05,1.0,1.9395654205000001,0.02,0.275,0.4461882872326339
87fa8083,run3f44b9104d,neutron,10,3,3,4,3.6164,3.5736,3.7751,0.5862,0.5928,0.5466,0.05,1.0,1.9395654205000001,0.02,0.292,0.4596182368363757
87fa8083,rundae88eb0db,kaon0L,10,3,3,4,3.6164,3.5736,3.7751,0.5862,0.5928,0.5466,0.05,1.0,1.497611,0.02,0.4786666666666667,0.42523405403014536
c2bbd5d3,run8a81743a25,kaon0L,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.0,1.497611,0.02,0.507,0.3902979772041701
c2bbd5d3,runb149538f93,neutron,10,3,3,4,3.5462,3.7294,3.7378,0.593,0.5514,0.587,0.05,1.0,1.9395654205000001,0.02,0.29233333333333333,0.4380448554152409
626d6837,run241a1c8ae6,kaon0L,10,3,3,4,3.7846,3.7277,3.5851,0.5954,0.5648,0.5602,0.05,1.0,1.497611,0.02,0.476,0.41367161576342354
626d6837,run169e9ec28e,neutron,10,3,3,4,3.7846,3.7277,3.5851,0.5954,0.5648,0.5602,0.05,1.0,1.9395654205000001,0.02,0.278,0.4522935572667882
